probe,log2FC,pval,-log10p
NM_177327,-0.25455818047278633,0.007921286885970089,2.101204257542453
NM_001008785,0.1173897207694683,0.16733717103497478,0.7764075773742407
NM_177325,0.030023590637553,0.5302801201944259,0.27549465395195477
NM_177324,0.0028052333205828006,0.9633159312937529,0.01623125730362631
NM_177323,-0.05751392830113389,0.702488248395828,0.15336093647559926
NM_001077267,0.03797256002788352,0.18260537802338495,0.7384864359392609
NM_177321,-0.4753118841098498,0.5705026431523375,0.24374233914442414
NM_177320,-0.24877511987552836,0.0172835854470061,1.7623661589447481
NM_177328,0.0,,
NM_001290303,-0.05011763875898012,0.4267040358902824,0.3698732494383441
NM_001290302,0.2785566111509604,0.8428068136887819,0.07427196198719598
NM_001278269,0.08326128597029836,0.17825958340472747,0.7489471127641085
NM_001290308,0.10991752731421939,0.8923631140060723,0.04945838965971473
NM_001164244,-0.06992854487193867,0.24624929292331785,0.6086250078554967
NM_001276396,0.0,,
NM_001276397,0.37519166843485685,0.1632162595001378,0.787236579286508
NM_001276390,-0.4918478474980315,0.42264973081037427,0.37401940329452027
NM_001276391,-0.4918478474980315,0.42264973081037427,0.37401940329452027
NM_001164242,-0.0716572968642577,0.24781081915923617,0.605879736706592
NR_131899,-0.002852507699763862,0.9555906654335263,0.01972810125212065
NR_131896,0.10411156004240496,0.29297844245388216,0.5331643341433543
NM_001164248,-0.026483957788389745,0.3472679331692987,0.45933531772751063
NR_131893,-0.12867176835477956,0.4680790212108785,0.3296808230394481
NM_001167910,-0.04452260246398154,0.10624044511893546,0.9737101183949913
NM_001167913,0.0,,
NM_001167914,-0.0798742647726236,0.7365562581154437,0.13279407617234013
NM_177326,-0.005373005718237067,0.44973230963087063,0.3470459107635051
NM_001167918,-0.08113625551089232,0.9058610555747809,0.04293841095975593
NM_001164336,0.1047291682983218,0.27937293377265354,0.5538156715309799
NM_177322,0.0,,
NM_001161540,0.5020948711394054,0.42264973081037427,0.37401940329452027
NM_001161541,0.5020948711394054,0.42264973081037427,0.37401940329452027
NM_001164790,0.0,,
NM_001164791,-0.17741589125582458,0.0169882273711665,1.769851935026417
NM_001164797,-0.4918478474980315,0.42264973081037427,0.37401940329452027
NM_001161548,0.0,,
NM_001164798,-0.04715155779467395,0.3907379853390235,0.40811436706740606
NM_001164799,-0.04724485412716106,0.40129623722868735,0.3965349124278335
NM_001177890,0.0,,
NM_001177897,1.7836799423172804,0.0045457260274840115,2.34239674290437
NM_001177896,1.7836799423172804,0.0045457260274840115,2.34239674290437
NM_008095,0.18164011112376954,0.018499012480563806,1.7328514546071943
NM_001177898,-1.7047384274317712,0.006824623416406096,2.165921308051167
NM_001166206,0.038781910854856605,0.9109880647326575,0.04048731287848575
NM_172919,-0.1259321117097949,0.08704609769510116,1.0602506936732645
NM_172918,-0.07410203122988612,0.07892041358526777,1.10281064747802
NR_045281,0.0,,
NM_172913,0.0,,
NM_172912,0.7952730621170422,0.42264973081037427,0.37401940329452027
NM_172911,-0.1579197658090159,0.15996365791353245,0.7959786733463506
NM_172910,0.5596026463990081,0.42264973081037427,0.37401940329452027
NM_172916,0.0,,
NM_172914,0.0,,
NM_010587,0.09292872176200184,0.03565330300357316,1.4479002299137456
NM_010586,0.04387326708983785,0.6241420965743827,0.20471652452790873
NM_010585,-0.05920459817605561,0.3668929178222661,0.43546067140130285
NM_010584,-0.4918478474980315,0.42264973081037427,0.37401940329452027
NR_104575,1.724601800118685,0.02081230237690265,1.6816798729707776
NM_010582,0.0,,
NR_104577,0.04236571905274111,0.6063519126924664,0.217275248141841
NR_104576,-1.2765542047726193,0.330310318571869,0.48107785916106116
NM_010589,0.14879400455148684,0.17318990586399194,0.7614774238389844
NM_010588,0.5382635195959189,0.014709667322744575,1.8323971492663562
NR_033197,0.009341695150222762,0.9856501281065825,0.006277217307825366
NM_001013384,0.0,,
NM_001013385,0.0,,
NM_001013386,0.0,,
NM_001195760,-0.44968511908478875,0.42264973081037427,0.37401940329452027
NM_001013380,-0.03787955856903835,0.22540770084780667,0.647031250762947
NM_001013381,-0.2558975366781624,0.16141116626871455,0.7920664245015431
NM_001013382,0.0,,
NM_001013389,0.1028252329756949,0.20288051182152528,0.692759668170484
NM_001309809,-0.08210426169183194,0.3484916764532494,0.4578075903452916
NR_030523,0.2168835028280105,0.33363139993662483,0.47673308220255706
NR_030526,0.5596026463990081,0.42264973081037427,0.37401940329452027
NM_011425,0.052409752054616676,0.945101223638581,0.024521674545331048
NR_030524,0.0,,
NR_030525,0.0,,
NR_030529,0.0,,
NM_001081080,-0.05965586197635986,0.26131160309120105,0.5828413057468327
NM_001081081,-0.09106360348553899,0.05701435719671668,1.244015767728001
NM_001081082,0.0,,
NM_001081083,0.3740598773711419,0.8429370457324201,0.0742048591972727
NM_001081084,-1.2026047201667476,0.22521188712625692,0.6474086902989646
NM_001081085,0.11280883742198355,0.38109290415734687,0.4189691375936123
NM_001081086,0.0363040400122987,0.2227091295602576,0.6522619794797757
NM_001081087,0.018487240131115357,0.8744695951406254,0.05825528611921714
NM_001081088,-0.4149342776035647,0.201821352324948,0.6950328881172456
NM_001081089,-0.32734170790781203,0.8059350311958126,0.09369996654527545
NM_001324552,1.5030266199094375,0.42264973081037427,0.37401940329452027
NM_001324553,0.28667214252481976,0.14778108450120575,0.8303811506669468
NM_001324550,0.0052683741804706585,0.8036570387334298,0.09492924722481783
NM_001324551,1.5030266199094375,0.42264973081037427,0.37401940329452027
NM_011980,0.01138487225478535,0.8513992441455611,0.06986673971626742
NM_011981,-0.022743764429938196,0.7309564559626895,0.13610849376496742
