symbol,GSM1308942_BMGMdbdb.TMM.data.txt.gz,GSM1308941_BMGMdb.TMM.data.txt.gz,GSM1308940_BMMCdbdb.TMM.data.txt.gz,GSM1308939_BMMCdb.TMM.data.txt.gz
0610005C13Rik,16.1,20.2,10.4,16.2
0610007C21Rik,1551.3,1628.5,1205.9,1167.1
0610007L01Rik,2334.5,2347.5,2246.3,2184.8
0610007N19Rik,0.0,0.0,77.5,23.8
0610007P08Rik,1320.0,1299.9,933.2,706.7
0610007P14Rik,797.2,862.5,490.6,451.8
0610007P22Rik,222.7,194.0,254.4,318.6
0610008F07Rik,0.0,0.0,0.9,1.9
0610009B14Rik,2.2,0.0,1.7,0.9
0610009B22Rik,456.1,483.4,435.7,409.9
0610009D07Rik,1013.4,1067.7,895.7,947.3
0610009L18Rik,45.2,51.6,69.7,83.7
0610009O20Rik,542.2,513.7,628.2,663.0
0610010B08Rik,608.9,671.8,759.8,763.8
0610010F05Rik,1470.6,1680.1,1038.6,958.8
0610010K14Rik,315.2,341.0,561.1,586.9
0610010O12Rik,10.8,13.5,4.3,7.6
0610011F06Rik,176.4,161.5,135.0,147.4
0610011L14Rik,1392.1,1372.8,1095.3,1043.4
0610012G03Rik,1450.2,1387.4,1016.0,1025.3
0610012H03Rik,0.0,0.0,3.5,1.9
0610030E20Rik,1153.3,1223.6,1706.1,1573.2
0610031J06Rik,8818.3,8194.2,3924.5,4285.9
0610031O16Rik,0.0,0.0,0.0,1.9
0610037L13Rik,450.8,369.0,482.7,497.5
0610037P05Rik,513.2,544.0,706.7,711.5
0610038B21Rik,118.3,102.1,174.3,207.3
0610038L08Rik,28.0,25.8,20.0,27.6
0610039K10Rik,530.4,474.4,1698.2,1920.4
0610040B10Rik,4.3,12.3,1.7,2.8
0610040F04Rik,289.4,281.5,7.8,11.4
0610040J01Rik,15.1,10.1,68.8,101.8
0610043K17Rik,4.3,4.5,11.3,13.3
0910001L09Rik,1183.4,1232.6,1171.1,1501.9
1-Mar,1611.5,1756.4,4313.1,4594.1
1-Sep,1.1,11.2,20.9,20.0
10-Mar,4.3,3.4,4.3,4.8
10-Sep,724.0,681.9,645.7,528.8
100043387,139.9,109.9,156.0,148.4
11-Mar,0.0,0.0,0.0,0.0
11-Sep,6851.8,6736.2,3654.4,2210.5
1100001G20Rik,1301.7,1222.5,79.3,70.4
1110001A16Rik,224.8,268.1,271.0,222.6
1110001J03Rik,154.9,135.7,77.5,70.4
1110002B05Rik,4099.9,3989.4,3891.4,3886.4
1110002L01Rik,253.9,201.9,269.2,245.4
1110002N22Rik,134.5,135.7,176.0,165.5
1110003E01Rik,2361.4,2472.0,2761.3,2908.6
1110004E09Rik,198.0,166.0,141.1,126.5
1110004F10Rik,1468.5,1439.0,1465.6,1422.9
1110005A03Rik,365.8,317.4,341.6,353.8
1110006O24Rik,14.0,15.7,17.4,29.5
1110007C09Rik,1569.6,1619.6,1209.4,1451.5
1110008F13Rik,2564.7,2392.3,2073.8,1977.4
1110008J03Rik,124.8,123.4,113.3,134.1
1110008L16Rik,411.0,355.5,331.1,248.2
1110008P14Rik,757.4,606.8,298.0,304.4
1110012J17Rik,0.0,0.0,10.4,14.3
1110012L19Rik,291.5,289.4,223.9,197.8
1110014N23Rik,1386.7,1553.4,1419.4,1760.6
1110015O18Rik,0.0,0.0,1.7,0.0
1110017D15Rik,7.5,5.6,2.6,3.8
1110017F19Rik,22.6,20.2,14.8,28.5
1110018G07Rik,3586.7,3500.4,3364.3,3456.5
1110018J18Rik,811.2,779.5,499.3,484.1
1110019D14Rik,55.9,46.0,47.0,46.6
1110020A21Rik,6.5,6.7,9.6,5.7
1110020G09Rik,454.0,518.2,723.2,649.6
1110021J02Rik,1096.2,1108.1,1159.7,1231.7
